id,drink_id,compornent_id,amount_number
1,1,1,0
2,1,2,0
3,2,1,0
4,2,3,0
5,3,1,0
6,3,4,0
7,3,5,0
8,3,6,0
9,3,7,0
10,4,1,0
11,4,8,0
12,5,9,0
13,5,8,0
14,6,1,0
15,6,10,0
16,6,5,0
17,7,1,0
18,7,11,0
19,8,12,0
20,8,1,0
21,9,1,0
22,9,13,0
23,9,14,0
24,10,1,0
25,10,15,0
26,10,16,0
27,11,4,0
28,11,1,0
29,11,11,0
30,12,1,0
31,12,11,0
32,12,17,0
33,13,1,0
34,13,18,0
35,14,1,0
36,14,11,0
37,14,19,0
38,15,1,0
39,15,5,0
40,15,20,0
41,16,1,0
42,16,5,0
43,16,6,0
44,16,7,0
45,17,1,0
46,17,21,0
47,17,7,0
48,18,1,0
49,18,22,0
50,18,23,0
51,18,24,0
52,18,2,0
53,19,1,0
54,19,11,0
55,19,25,0
56,19,26,0
57,19,2,0
58,20,1,0
59,20,27,0
60,20,3,0
61,21,1,0
62,21,27,0
63,21,4,0
64,21,5,0
65,21,28,0
66,21,7,0
67,21,29,0
68,22,9,0
69,22,8,0
70,23,9,0
71,23,11,0
72,24,1,0
73,24,5,0
74,24,6,0
75,24,7,0
76,25,1,0
77,25,30,0
78,25,2,0
79,26,1,0
80,26,11,0
81,26,31,0
82,27,1,0
83,27,32,0
84,27,33,0
85,28,1,0
86,28,5,0
87,28,6,0
88,28,34,0
89,29,1,0
90,29,35,0
91,29,5,0
92,30,1,0
93,30,11,0
94,30,25,0
95,30,2,0
96,31,1,0
97,31,36,0
98,31,37,0
99,32,1,0
100,32,25,0
101,32,14,0
102,32,32,0
103,32,33,0
104,33,38,0
105,33,1,0
106,33,36,0
107,34,1,0
108,34,38,0
109,34,39,0
110,34,40,0
111,34,10,0
112,34,5,0
113,34,41,0
114,35,23,0
115,35,42,0
116,35,30,0
117,35,5,0
118,35,43,0
119,36,1,0
120,36,44,0
121,36,45,0
122,36,46,0
123,36,16,0
124,37,38,0
125,37,46,0
126,37,47,0
127,38,38,0
128,38,16,0
129,38,20,0
130,39,38,0
131,39,8,0
132,40,38,0
133,40,11,0
134,41,38,0
135,41,21,0
136,41,7,0
137,42,38,0
138,42,31,0
139,42,46,0
140,42,24,0
141,42,32,0
142,43,38,0
143,43,21,0
144,43,6,0
145,44,38,0
146,44,10,0
147,44,16,0
148,45,38,0
149,45,48,0
150,45,11,0
151,45,5,0
152,46,38,0
153,46,10,0
154,46,49,0
155,46,16,0
156,47,50,0
157,47,38,0
158,48,38,0
159,48,46,0
160,48,49,0
161,49,38,0
162,49,2,0
163,50,38,0
164,50,14,0
165,50,51,0
166,51,38,0
167,51,27,0
168,51,52,0
169,52,38,0
170,52,10,0
171,52,5,0
172,53,38,0
173,53,10,0
174,53,5,0
175,54,38,0
176,54,53,0
177,55,38,0
178,55,54,0
179,56,38,0
180,56,55,0
181,56,56,0
182,56,5,0
183,57,38,0
184,57,55,0
185,58,38,0
186,58,57,0
187,58,5,0
188,59,38,0
189,59,56,0
190,60,38,0
191,60,54,0
192,60,37,0
193,61,58,0
194,61,38,0
195,61,11,0
196,62,38,0
197,62,58,0
198,62,2,0
199,63,27,0
200,63,38,0
201,64,59,0
202,64,10,0
203,64,3,0
204,65,38,0
205,65,60,0
206,65,61,0
207,66,38,0
208,66,1,0
209,66,36,0
210,67,62,0
211,67,38,0
212,68,38,0
213,68,55,0
214,68,63,0
215,69,1,0
216,69,38,0
217,69,39,0
218,69,40,0
219,69,10,0
220,69,5,0
221,69,41,0
222,70,64,0
223,70,10,0
224,70,16,0
225,71,64,0
226,71,31,0
227,71,5,0
228,71,20,0
229,72,65,0
230,72,31,0
231,72,7,0
232,73,65,0
233,73,7,0
234,74,66,0
235,74,49,0
236,74,32,0
237,74,7,0
238,75,40,0
239,75,27,0
240,75,26,0
241,75,5,0
242,76,64,0
243,76,2,0
244,76,32,0
245,77,40,0
246,77,8,0
247,78,67,0
248,78,26,0
249,78,49,0
250,78,16,0
251,79,67,0
252,79,25,0
253,79,68,0
254,80,64,0
255,80,46,0
256,80,8,0
257,81,39,0
258,81,14,0
259,81,51,0
260,82,64,0
261,82,57,0
262,82,5,0
263,82,6,0
264,82,69,0
265,83,64,0
266,83,70,0
267,83,5,0
268,83,69,0
269,84,64,0
270,84,58,0
271,84,5,0
272,84,6,0
273,84,69,0
274,85,40,0
275,85,54,0
276,86,64,0
277,86,14,0
278,86,16,0
279,87,65,0
280,87,58,0
281,87,7,0
282,88,64,0
283,88,13,0
284,88,16,0
285,89,1,0
286,89,38,0
287,89,39,0
288,89,40,0
289,89,10,0
290,89,5,0
291,89,41,0
292,90,64,0
293,90,70,0
294,90,71,0
295,90,16,0
296,90,72,0
297,91,64,0
298,91,28,0
299,91,7,0
300,91,73,0
301,92,64,0
302,92,28,0
303,92,7,0
304,92,74,0
305,92,75,0
306,93,64,0
307,93,28,0
308,93,7,0
309,93,76,0
310,94,64,0
311,94,28,0
312,94,7,0
313,94,77,0
314,95,64,0
315,95,28,0
316,95,7,0
317,95,78,0
318,95,21,0
319,96,64,0
320,96,28,0
321,96,7,0
322,96,21,0
323,97,64,0
324,97,28,0
325,97,7,0
326,97,75,0
327,98,64,0
328,98,10,0
329,98,28,0
330,98,7,0
331,99,64,0
332,99,10,0
333,99,16,0
334,99,7,0
335,100,64,0
336,100,8,0
337,101,39,0
338,101,16,0
339,101,6,0
340,102,39,0
341,102,16,0
342,102,46,0
343,102,6,0
344,102,79,0
345,103,39,0
346,103,21,0
347,103,80,0
348,103,6,0
349,103,7,0
350,104,81,0
351,104,82,0
352,104,83,0
353,105,39,0
354,105,46,0
355,105,6,0
356,105,32,0
357,106,39,0
358,106,10,0
359,106,5,0
360,107,39,0
361,107,2,0
362,107,5,0
363,107,32,0
364,108,39,0
365,108,21,0
366,108,41,0
367,109,58,0
368,109,39,0
369,109,71,0
370,109,16,0
371,109,14,0
372,110,84,0
373,110,64,0
374,110,57,0
375,110,7,0
376,111,39,0
377,111,57,0
378,111,3,0
379,112,39,0
380,112,82,0
381,112,2,0
382,112,5,0
383,112,3,0
384,113,39,0
385,113,85,0
386,113,86,0
387,113,14,0
388,114,39,0
389,114,27,0
390,114,87,0
391,114,16,0
392,114,28,0
393,114,69,0
394,115,88,0
395,115,27,0
396,115,2,0
397,115,14,0
398,115,5,0
399,115,32,0
400,116,39,0
401,116,27,0
402,116,80,0
403,116,6,0
404,116,16,0
405,116,7,0
406,117,39,0
407,117,82,0
408,117,6,0
409,117,89,0
410,117,90,0
411,118,39,0
412,118,36,0
413,118,37,0
414,119,82,0
415,119,39,0
416,119,10,0
417,119,5,0
418,120,39,0
419,120,10,0
420,120,5,0
421,120,6,0
422,120,91,0
423,120,69,0
424,121,39,0
425,121,57,0
426,121,14,0
427,121,5,0
428,122,88,0
429,122,92,0
430,122,93,0
431,122,90,0
432,123,39,0
433,123,10,0
434,123,5,0
435,124,39,0
436,124,10,0
437,124,14,0
438,124,2,0
439,124,5,0
440,124,94,0
441,125,1,0
442,125,38,0
443,125,39,0
444,125,40,0
445,125,10,0
446,125,5,0
447,125,41,0
448,126,95,0
449,126,96,0
450,126,45,0
451,126,97,0
452,126,72,0
453,127,83,0
454,127,98,0
455,127,3,0
456,127,18,0
457,128,99,0
458,128,100,0
459,128,54,0
460,128,84,0
461,128,101,0
462,129,12,0
463,129,102,0
464,129,7,0
465,129,58,0
466,130,54,0
467,130,101,0
468,131,103,0
469,131,34,0
470,132,31,0
471,132,34,0
472,133,70,0
473,133,101,0
474,134,104,0
475,134,57,0
476,134,46,0
477,135,105,0
478,135,21,0
479,135,80,0
480,135,6,0
481,135,7,0
482,136,54,0
483,136,101,0
484,136,106,0
485,137,23,0
486,137,2,0
487,138,54,0
488,138,107,0
489,139,71,0
490,139,41,0
491,139,29,0
492,140,71,0
493,140,41,0
494,141,71,0
495,141,57,0
496,141,8,0
497,142,71,0
498,142,14,0
499,143,71,0
500,143,21,0
501,143,80,0
502,143,6,0
503,143,7,0
504,144,108,0
505,144,2,0
506,145,108,0
507,145,21,0
508,145,80,0
509,145,6,0
510,145,7,0
511,146,12,0
512,147,12,0
513,147,34,0
514,148,12,0
515,148,109,0
516,148,7,0
517,149,12,0
518,149,110,0
519,150,12,0
520,150,1,0
521,151,58,0
522,151,7,0
523,151,29,0
524,152,58,0
525,152,21,0
526,152,80,0
527,152,6,0
528,152,7,0
529,153,111,0
530,153,2,0
531,154,31,0
532,154,7,0
533,154,29,0
534,155,23,0
535,155,7,0
536,155,29,0
537,156,62,0
538,156,7,0
539,157,30,0
540,157,2,0
541,158,31,0
542,158,2,0
543,159,31,0
544,159,46,0
545,160,31,0
546,160,7,0
547,161,31,0
548,161,112,0
549,162,31,0
550,162,101,0
551,163,31,0
552,163,21,0
553,163,80,0
554,163,6,0
555,163,7,0
556,164,113,0
557,164,2,0
558,165,70,0
559,165,7,0
560,166,114,0
561,166,101,0
562,167,115,0
563,167,10,0
564,167,5,0
565,168,116,0
566,168,117,0
567,169,71,0
568,169,30,0
569,169,14,0
570,169,101,0
571,170,30,0
572,170,5,0
573,170,6,0
574,170,7,0
575,171,30,0
576,171,34,0
577,172,82,0
578,172,36,0
579,172,37,0
580,173,18,0
581,173,2,0
582,174,18,0
583,175,18,0
584,175,8,0
585,176,71,0
586,176,50,0
587,176,14,0
588,177,118,0
589,177,7,0
590,178,39,0
591,178,10,0
592,178,5,0
593,179,84,0
594,179,57,0
595,180,84,0
596,180,54,0
597,180,50,0
598,180,37,0
599,180,101,0
600,181,38,0
601,181,31,0
602,181,46,0
603,181,24,0
604,181,32,0
605,182,82,0
606,182,26,0
607,182,2,0
608,183,27,0
609,183,54,0
610,183,101,0
611,184,38,0
612,184,10,0
613,184,16,0
614,185,54,0
615,185,119,0
616,186,54,0
617,186,2,0
618,187,54,0
619,187,41,0
620,188,71,0
621,188,54,0
622,188,14,0
623,188,101,0
624,189,54,0
625,189,7,0
626,190,103,0
627,190,54,0
628,190,101,0
629,191,54,0
630,191,101,0
631,192,54,0
632,192,7,0
633,192,21,0
634,193,102,0
635,193,31,0
636,194,4,0
637,194,1,0
638,194,11,0
639,195,4,0
640,195,5,0
641,195,8,0
642,196,120,0
643,196,121,0
644,196,23,0
645,196,122,0
646,197,123,0
647,197,36,0
648,197,37,0
649,198,58,0
650,198,39,0
651,198,71,0
652,198,16,0
653,198,14,0
654,199,84,0
655,199,64,0
656,199,57,0
657,199,7,0
658,200,116,0
659,200,26,0
660,200,53,0
661,200,5,0
662,201,23,0
663,201,1,0
664,201,2,0
665,202,108,0
666,202,111,0
667,202,71,0
668,202,2,0
669,202,101,0
670,203,70,0
671,203,34,0
672,204,38,0
673,204,58,0
674,204,103,0
675,204,14,0
676,205,82,0
677,205,54,0
678,206,4,0
679,206,82,0
680,206,26,0
681,206,5,0
682,206,32,0
683,207,4,0
684,207,5,0
685,207,20,0
686,208,27,0
687,208,31,0
688,208,7,0
689,209,27,0
690,209,5,0
691,209,28,0
692,209,2,0
693,210,105,0
694,210,2,0
695,211,105,0
696,211,31,0
697,211,8,0
698,212,105,0
699,212,101,0
700,213,105,0
701,213,7,0
702,214,38,0
703,214,10,0
704,214,5,0
705,215,108,0
706,215,45,0
707,215,37,0
708,215,101,0
709,215,124,0
710,215,26,0
711,216,84,0
712,216,2,0
713,217,84,0
714,217,8,0
715,217,75,0
716,218,30,0
717,218,2,0
718,218,125,0
719,219,104,0
720,219,2,0
721,220,104,0
722,220,46,0
723,221,4,0
724,221,8,0
725,222,82,0
726,222,39,0
727,222,10,0
728,222,5,0
729,223,23,0
730,223,119,0
731,224,58,0
732,224,126,0
733,224,98,0
734,224,57,0
735,224,2,0
736,225,71,0
737,225,57,0
738,225,14,0
739,225,101,0
740,226,114,0
741,226,34,0
742,227,109,0
743,227,110,0
744,228,109,0
745,228,34,0
746,229,113,0
747,229,101,0
748,230,10,0
749,230,37,0
750,230,82,0
751,230,54,0
752,231,127,0
753,231,107,0
754,232,82,0
755,232,85,0
756,233,85,0
757,233,101,0
758,234,85,0
759,234,123,0
760,234,101,0
761,235,50,0
762,235,2,0
763,235,7,0
764,236,54,0
765,236,101,0
766,236,128,0
767,237,71,0
768,237,2,0
769,238,71,0
770,238,14,0
771,238,101,0
772,239,71,0
773,239,101,0
774,240,108,0
775,240,71,0
776,240,14,0
777,241,108,0
778,241,101,0
779,242,108,0
780,242,111,0
781,242,7,0
782,243,58,0
783,243,38,0
784,243,10,0
785,243,14,0
786,243,5,0
787,244,71,0
788,244,58,0
789,244,14,0
790,244,101,0
791,245,58,0
792,245,46,0
793,245,8,0
794,246,58,0
795,246,71,0
796,246,14,0
797,246,37,0
798,247,58,0
799,247,38,0
800,247,49,0
801,248,58,0
802,248,101,0
803,249,13,0
804,249,69,0
805,250,127,0
806,250,129,0
807,251,85,0
808,251,129,0
809,251,101,0
810,252,111,0
811,252,20,0
812,253,111,0
813,253,7,0
814,254,111,0
815,254,14,0
816,255,111,0
817,255,101,0
818,256,62,0
819,256,20,0
820,257,31,0
821,257,119,0
822,258,71,0
823,258,31,0
824,258,14,0
825,258,101,0
826,259,113,0
827,259,7,0
828,260,71,0
829,260,70,0
830,260,14,0
831,260,101,0
832,261,103,0
833,261,46,0
834,262,117,0
835,262,23,0
836,263,1,0
837,263,26,0
838,263,2,0
839,263,5,0
840,264,113,0
841,264,82,0
842,264,24,0
843,264,34,0
844,265,1,0
845,265,38,0
846,265,39,0
847,265,40,0
848,265,10,0
849,265,5,0
850,265,41,0
851,266,27,0
852,266,53,0
853,267,58,0
854,267,12,0
855,267,115,0
856,267,5,0
857,267,72,0
858,268,23,0
859,268,42,0
860,268,30,0
861,268,5,0
862,268,43,0
863,269,27,0
864,269,31,0
865,269,101,0
866,269,130,0
867,270,27,0
868,270,20,0
869,270,73,0
870,271,58,0
871,271,131,0
872,271,30,0
873,271,16,0
874,272,27,0
875,272,54,0
876,272,49,0
877,273,109,0
878,273,1,0
879,273,132,0
880,273,133,0
881,274,127,0
882,274,134,0
883,274,101,0
884,275,127,0
885,275,101,0
886,276,135,0
887,276,136,0
888,276,137,0
889,276,37,0
890,276,138,0
891,277,62,0
892,277,102,0
893,278,139,0
894,278,31,0
895,279,102,0
896,279,31,0
897,280,102,0
898,280,7,0
899,281,102,0
900,281,114,0
901,281,7,0
902,282,140,0
903,282,2,0
904,282,32,0
905,282,10,0
906,283,63,0
907,283,55,0
908,284,63,0
909,284,20,0
910,285,63,0
911,285,141,0
912,286,142,0
913,286,34,0
914,287,143,0
915,287,6,0
916,287,134,0
917,287,37,0
918,288,144,0
919,288,145,0
920,288,45,0
921,288,16,0
922,289,146,0
923,289,7,0
924,290,146,0
925,290,7,0
926,291,146,0
927,291,147,0
928,292,148,0
929,292,92,0
930,292,149,0
931,293,144,0
932,293,45,0
933,293,10,0
934,293,2,0
935,293,32,0
936,294,146,0
937,294,50,0
938,295,146,0
939,295,84,0
940,295,2,0
941,296,27,0
942,296,146,0
943,296,7,0
944,297,150,0
945,297,27,0
946,297,92,0
947,297,79,0
948,297,7,0
949,298,151,0
950,298,27,0
951,298,25,0
952,298,79,0
953,299,151,0
954,299,11,0
955,299,149,0
956,300,150,0
957,300,21,0
958,300,32,0
959,300,6,0
960,301,146,0
961,301,4,0
962,302,150,0
963,302,11,0
964,302,26,0
965,302,32,0
966,303,146,0
967,303,5,0
968,303,20,0
969,304,148,0
970,304,25,0
971,304,149,0
972,305,146,0
973,305,84,0
974,306,146,0
975,306,25,0
976,306,149,0
977,307,148,0
978,307,83,0
979,307,37,0
980,307,89,0
981,307,6,0
982,308,148,0
983,308,37,0
984,308,6,0
985,309,148,0
986,309,152,0
987,309,153,0
988,309,134,0
989,309,37,0
990,310,131,0
991,310,154,0
992,310,85,0
993,310,37,0
994,311,148,0
995,311,5,0
996,311,155,0
997,311,29,0
998,311,156,0
999,312,148,0
1000,312,20,0
1001,313,148,0
1002,313,7,0
1003,313,28,0
1004,313,80,0
1005,314,148,0
1006,314,7,0
1007,315,148,0
1008,315,70,0
1009,315,45,0
1010,315,16,0
1011,316,157,0
1012,316,158,0
1013,317,157,0
1014,317,158,0
1015,318,157,0
1016,318,158,0
1017,319,159,0
1018,319,160,0
1019,320,159,0
1020,320,160,0
1021,321,161,0
1022,321,7,0
1023,322,161,0
1024,322,20,0
1025,323,161,0
1026,323,41,0
1027,324,162,0
1028,324,159,0
1029,324,163,0
1030,324,164,0
1031,325,165,0
1032,325,160,0
1033,326,162,0
1034,326,166,0
1035,327,167,0
1036,328,168,0
1037,329,169,0
1038,329,170,0
1039,330,171,0
1040,330,172,0
1041,330,173,0
1042,330,174,0
1043,331,175,0
1044,332,176,0
1045,332,7,0
1046,332,177,0
1047,332,178,0
1048,333,176,0
1049,333,7,0
1050,333,179,0
1051,333,178,0
1052,334,176,0
1053,334,7,0
1054,334,180,0
1055,334,178,0
1056,335,181,0
1057,335,181,0
1058,336,2,0
1059,336,73,0
1060,337,182,0
1061,337,183,0
1062,337,7,0
1063,338,174,0
1064,338,184,0
1065,338,185,0
1066,339,186,0
1067,339,6,0
